Name,Distributor,Month,Country,Genre,Runtime,Grade,Screen_Type,Story,Series,Audience_Reviews,Critic_Reviews,Trailer_views,Preview,Screen,Audience
택시운전사,Major,8,Korea,Drama,137,12,2D,Yes,No,8.50,6.09,1580254,86713,1906,12186684
신과함께-죄와 벌,Major,12,Korea,Fantasy,139,12,4D,Yes,Yes,8.04,5.92,2188321,16199,1912,14410931
공조,Major,1,Korea,Action,125,15,4D,No,No,8.51,5.00,1447661,14606,1177,7817446
스파이더맨 : 홈커밍,Major,7,America,Action,133,12,IMAX,No,Yes,9.12,7.00,1806421,6197,1965,7258678
범죄도시,Major,10,Korea,Crime,121,19,2D,No,No,9.28,6.00,1665097,30408,1315,6879841
군함도,Major,7,Korea,Action,132,15,4D,Yes,No,8.54,6.17,2390312,21629,2027,6592151
청년경찰,Major,8,Korea,Action,108,15,2D,No,No,8.77,5.10,1279216,36656,1102,5653270
더 킹,Major,1,Korea,Crime,134,15,2D,No,No,8.54,6.83,451547,14012,1310,5316325
미녀와 야수,Major,3,America,Romance,129,All,IMAX,Yes,No,8.80,7.00,1271693,2493,1627,5138193
킹스맨 : 골든 서클,Major,9,America,Action,140,19,IMAX,No,Yes,8.98,5.00,1640499,5735,1687,4945484
토르 : 라그나로크,Major,10,America,Action,130,12,IMAX,No,Yes,9.40,6.13,787363,2511,1640,4857152
꾼,Major,11,Korea,Crime,116,15,2D,No,No,7.47,4.40,1322082,38739,1314,4018341
강철비,Major,12,Korea,Action,139,15,2D,No,No,7.48,7.18,1190975,16112,1426,4452755
남한산성,Major,10,Korea,History,140,15,2D,Yes,No,8.27,7.50,1321330,28918,1229,3849087
미이라,Major,6,America,Action,110,15,IMAX,No,No,9.02,5.71,754027,553,1257,3689325
분노의 질주 : 더 익스트림,Major,4,America,Action,136,15,IMAX,No,Yes,9.50,6.00,968137,503,1469,3653238
너의 이름은,Minor,1,Japan,Romance,106,12,IMAX,No,No,9.55,7.55,456359,74239,947,3673885
슈퍼배드 3,Major,7,America,Animation,89,All,4D,No,Yes,9.58,5.00,582331,1370,1057,3324861
아이 캔 스피크,Major,9,Korea,Comedy,118,12,2D,Yes,No,9.33,7.25,1244663,31512,1140,3280243
캐리비안의 해적 : 죽은 자는 말이 없다,Major,5,America,Action,128,12,IMAX,No,Yes,9.58,5.20,1406445,1859,1357,3049894
프리즌,Major,3,Korea,Crime,124,19,2D,No,No,9.08,6.00,324097,108154,1047,2931897
덩케르크,Major,7,America,Action,106,12,IMAX,Yes,No,9.22,8.55,345999,6021,1252,2792705
가디언즈 오브 갤럭시 Vol 2,Major,5,America,Action,135,12,IMAX,No,Yes,9.38,6.25,1149421,148489,1218,2735721
살인자의 기억법,Major,9,Korea,Crime,118,15,2D,Yes,No,7.94,5.78,140167,4720,1064,2658589
트랜스포머 : 최후의 기사,Major,6,America,Action,150,12,IMAX,No,Yes,8.10,2.83,573846,1839,1739,2614601
보안관,Major,5,Korea,Crime,115,15,2D,No,No,8.29,5.89,179347,22154,1091,2588617
조작된 도시,Major,2,Korea,Crime,126,15,2D,No,No,8.92,5.22,1145208,18203,1019,2514943
보스 베이비,Major,5,America,Animation,97,All,3D,No,No,9.39,5.20,558381,2222,1116,2451919
재심,Minor,2,Korea,Drama,118,15,2D,Yes,No,9.31,6.00,1143968,13133,935,2421011
박열,Major,6,Korea,Drama,128,12,2D,Yes,No,9.15,6.70,1083271,19175,1176,2359174
모아나,Major,1,America,Animation,113,All,4D,No,No,9.45,6.40,1146385,5083,953,2310054
마스터,Major,12,Korea,Action,142,15,2D,No,No,8.58,5.77,1188506,23444,1501,7150541
원더 우먼,Major,5,America,Action,140,12,IMAX,No,Yes,8.51,6.70,654411,3316,1034,2165401
겟 아웃,Major,5,America,Horror,103,15,2D,No,No,8.22,7.14,1892674,274,645,2138146
로건,Major,3,America,Action,137,19,IMAX,No,Yes,9.09,7.55,1896906,99025,954,2169109
혹성탈출 : 종의 전쟁,Major,8,America,Action,139,12,IMAX,No,Yes,9.13,7.75,1100142,6423,1017,2051315
1987,Major,12,Korea,Drama,129,15,2D,Yes,No,7.55,8.08,1176410,35331,1299,7231770
애나벨 : 인형의 주인,Major,8,America,Horror,108,15,4D,No,No,8.25,7.00,385391,29018,1006,1934192
노무현입니다,Minor,5,Korea,Documentary,109,12,2D,Yes,No,8.35,6.67,517098,7328,775,1854867
저스티스 리그,Major,11,America,Action,119,12,IMAX,No,Yes,8.05,5.83,348456,2093,1308,1786386
킬러의 보디가드,Minor,8,America,Action,118,15,4D,No,No,9.36,5.60,149956,16076,482,1721757
콩 : 스컬 아일랜드,Major,3,America,Action,118,12,IMAX,No,Yes,8.44,6.17,408670,5018,984,1689717
23 아이덴티티,Major,2,America,Horror,117,15,3D,No,No,8.64,6.50,698919,274,952,1675798
임금님의 사건수첩,Minor,4,Korea,Comedy,114,12,2D,No,No,8.62,5.63,1108884,16380,1054,1634403
부라더,Major,11,Korea,Comedy,102,12,2D,No,No,9.11,5.80,284527,24942,889,1492903
기억의 밤,Major,11,Korea,Mystery,108,15,2D,No,No,9.25,5.67,252224,7136,759,1387599
해피 데스데이,Major,11,America,Horror,96,15,2D,No,No,9.21,5.00,501128,588,714,1382650
브이아이피,Major,8,Korea,Crime,127,19,2D,No,No,8.27,5.00,1287700,7480,996,1373316
특별시민,Major,4,Korea,Drama,130,15,2D,No,No,8.61,5.91,713522,8631,1154,1362634
에어리언 : 커버넌트,Major,5,America,SF,121,15,4D,No,No,9.27,7.11,1049839,1843,841,1307226
장산범,Major,8,Korea,Mystery,99,15,2D,Yes,No,8.24,5.80,1004533,10307,711,1306438
악녀,Major,6,Korea,Action,123,19,2D,No,No,7.45,5.40,1262134,4413,685,1208081
해빙,Major,3,Korea,Horror,117,15,2D,No,No,9.16,6.00,1022331,3024,915,1204600
