acc_id,amount_spent,survival_time
2,0.0,64.0
5,0.05,64.0
8,0.07755470275878906,35.0
17,0.05,64.0
20,0.05,64.0
21,0.06274749338626862,30.0
31,0.05,64.0
38,0.05,64.0
41,0.0,64.0
43,0.05,64.0
50,0.0,64.0
53,0.0,64.0
54,0.0656847208738327,33.0
59,0.0,64.0
62,0.0835365504026413,31.0
63,0.05,64.0
65,0.0,64.0
66,0.05,64.0
67,0.05,64.0
69,0.05,64.0
75,0.05,64.0
76,0.0,64.0
77,0.0,64.0
79,0.0,64.0
81,0.06480823457241058,36.0
86,0.0,64.0
91,0.0843982994556427,29.0
92,0.0,64.0
97,0.0,64.0
98,0.05,64.0
100,0.06458356976509094,30.0
113,0.05,64.0
119,0.05,64.0
125,0.09109007567167282,20.0
129,0.0,64.0
133,0.07088553160429001,33.0
137,0.0,64.0
138,0.08247347176074982,31.0
140,0.08949286490678787,24.0
145,0.05,64.0
147,0.0,64.0
149,0.05,64.0
154,0.07142100483179092,33.0
155,0.05,64.0
158,0.09106944501399994,26.0
160,0.07830461859703064,31.0
161,0.05,64.0
163,0.05,64.0
172,0.0,64.0
173,0.07933765649795532,33.0
174,0.05,64.0
176,0.05773414298892021,31.0
180,0.08063759654760361,23.0
181,0.05,64.0
186,0.05,64.0
192,0.0703241378068924,18.0
194,0.06599368900060654,35.0
203,0.08766141533851624,35.0
204,0.07454612106084824,32.0
205,0.05,64.0
207,0.10501492023468018,35.0
209,0.0,64.0
212,0.08128441870212555,25.0
213,0.0,64.0
215,0.05,64.0
216,0.0,64.0
217,0.05,64.0
218,0.05,64.0
219,0.10433918982744217,27.0
223,0.05,64.0
226,0.05,64.0
232,0.062371667474508286,37.0
247,0.05,64.0
250,0.05,64.0
251,0.07686743885278702,33.0
253,0.05,64.0
255,0.05,64.0
257,0.05,64.0
260,0.10229527950286865,21.0
262,0.0558975525200367,30.0
266,0.0764939934015274,29.0
268,0.06218855455517769,34.0
273,0.05,64.0
276,0.05,64.0
280,0.0,64.0
281,0.05,64.0
283,0.05,64.0
284,0.06324943900108337,30.0
287,0.08759499341249466,32.0
288,0.0668332427740097,31.0
289,0.08128441870212555,22.0
295,0.05,64.0
298,0.0,64.0
299,0.0,64.0
305,0.07250311970710754,21.0
